review_order,sample_index,sample_id,video_id,video_path,audio_path,raw_text,words_path,vision_rows_path,frames_dir,duration_s,reviewer_id,transcript_status,transcript_start,transcript_end,visual_status,visual_start,visual_end,face_id,episode_id,confidence,evidence_note,review_seconds,submitted_at_utc
1,38,-aNfi7CP8vM$_$7,-aNfi7CP8vM,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-aNfi7CP8vM/7.mp4,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000038/audio_16k.wav,"Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.",/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000038/words.jsonl,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000038/vision_rows.jsonl,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000038/frames,8.666666666666666,reviewer_a,,,,,,,,,,,,
2,6,-571d8cVauQ$_$5,-571d8cVauQ,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-571d8cVauQ/5.mp4,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000006/audio_16k.wav,"So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there and let everybody knows this is a very valuable spot.",/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000006/words.jsonl,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000006/vision_rows.jsonl,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000006/frames,15.266666666666666,reviewer_a,,,,,,,,,,,,
3,77,-s9qJ7ATP7w$_$7,-s9qJ7ATP7w,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/7.mp4,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000077/audio_16k.wav,"I used to work for Warren Avis, the guy who started Avis Rent a Car, and he said to me one day, ""Robert, ""what's the purpose of business",/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000077/words.jsonl,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000077/vision_rows.jsonl,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000077/frames,6.933333333333333,reviewer_a,,,,,,,,,,,,
4,69,-ri04Z7vwnc$_$0,-ri04Z7vwnc,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-ri04Z7vwnc/0.mp4,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000069/audio_16k.wav,going to get married or are already married,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000069/words.jsonl,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000069/vision_rows.jsonl,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000069/frames,2.7944666666666667,reviewer_a,,,,,,,,,,,,
5,2,-3g5yACwYnA$_$3,-3g5yACwYnA,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/3.mp4,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000002/audio_16k.wav,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000002/words.jsonl,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000002/vision_rows.jsonl,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000002/frames,14.366666666666667,reviewer_a,,,,,,,,,,,,
6,42,-dxfTGcXJoc$_$2,-dxfTGcXJoc,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/2.mp4,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000042/audio_16k.wav,"An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.",/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000042/words.jsonl,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000042/vision_rows.jsonl,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000042/frames,16.666666666666664,reviewer_a,,,,,,,,,,,,
7,92,-wny0OAz3g8$_$2,-wny0OAz3g8,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/2.mp4,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000092/audio_16k.wav,"And because they couldn’t get these jobs, Black communities had more men out of work, higher rates of poverty, and more criminal behavior",/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000092/words.jsonl,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000092/vision_rows.jsonl,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000092/frames,6.666666666666666,reviewer_a,,,,,,,,,,,,
8,21,-MeTTeMJBNc$_$7,-MeTTeMJBNc,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-MeTTeMJBNc/7.mp4,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000021/audio_16k.wav,"Maybe you could find a picture of the couple from their wedding or sometime in their life, or maybe even a current picture and have it put in a beautiful frame.",/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000021/words.jsonl,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000021/vision_rows.jsonl,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000021/frames,10.5,reviewer_a,,,,,,,,,,,,
9,8,-9y-fZ3swSY$_$0,-9y-fZ3swSY,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/0.mp4,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000008/audio_16k.wav,"is, you can say, hey I really like baby skin, they are so soft, they don’t have any hair on their face",/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000008/words.jsonl,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000008/vision_rows.jsonl,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000008/frames,6.8999999999999995,reviewer_a,,,,,,,,,,,,
10,63,-mJ2ud6oKI8$_$2,-mJ2ud6oKI8,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/2.mp4,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000063/audio_16k.wav,So physical therapists and chiropractors will do joint manipulations and mobilizations,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000063/words.jsonl,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000063/vision_rows.jsonl,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000063/frames,5.7057,reviewer_a,,,,,,,,,,,,
