sample_id,video_id,clip_id,xlsx_row,official_text_hash,mp4_path,mp4_sha256,wav_path,wav_sha256,ctc_input,whisperx_input,chain_ok,reason
-3g5yACwYnA$_$13,-3g5yACwYnA,13,2,16bee1b5ecbd8d2632c5d48e5629380ddae687005479cd6e775fcffb79b58dd8,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/13.mp4,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000000/audio_16k.wav,16766b2394811ae33d917ad37ba4b8ad9a1660cd3859e553fa77f0bbc33be32a,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000000/audio_16k.wav,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000000/audio_16k.wav,1,
-3g5yACwYnA$_$2,-3g5yACwYnA,2,4,3d29e4bd12105ed426b7ec516a3eafc8f4d8363f8c284ea20b5944e014777e04,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/2.mp4,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000001/audio_16k.wav,69ff39c63df41411998dee4a1feae81c9bfee72af227e9eb06a6edb33c655bdd,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000001/audio_16k.wav,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000001/audio_16k.wav,1,
-3g5yACwYnA$_$3,-3g5yACwYnA,3,3,e34429bb59081603d60a09b558b648c0a68e8f0cd59532d1b1f62cb45ee5d0b7,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/3.mp4,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000002/audio_16k.wav,58f316f60998362954764d13791464a2313c5ab29275c669e126a2ab9cfde3b7,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000002/audio_16k.wav,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000002/audio_16k.wav,1,
-3g5yACwYnA$_$9,-3g5yACwYnA,9,5,edf40f3bc90720a15b5edde898ad73ac8914812e2e3d6da541110446b6376f81,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/9.mp4,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000003/audio_16k.wav,3ffabf6049e4549f17de5cbb1f86c091d0c55345767b8b3fdc302c9943195ffa,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000003/audio_16k.wav,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000003/audio_16k.wav,1,
-3nNcZdcdvU$_$5,-3nNcZdcdvU,5,6,79c1af6a9ee4395006d8253e8a2c10d2fa1dff409dcb41389b13cd8388f6d6f5,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3nNcZdcdvU/5.mp4,7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000004/audio_16k.wav,29a6b84242a06db89b62daa7180e97b1df44f4cef216975d4a013dc994f7e73f,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000004/audio_16k.wav,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000004/audio_16k.wav,1,
-571d8cVauQ$_$0,-571d8cVauQ,0,66,3cc4662c85af842f5e682e4ef26cf9eb3bebd97881a87999db6c236539a3d598,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-571d8cVauQ/0.mp4,defc62e1530d9b0cd27f2acfe042b71dd84d7e8c85f1df261f04912091976088,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000005/audio_16k.wav,d503e855529edd760fb7ca219dd41633c6aedb197b4336615b2efd540a6a9ada,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000005/audio_16k.wav,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000005/audio_16k.wav,1,
-571d8cVauQ$_$5,-571d8cVauQ,5,67,750ec610bc9cc014a16efdc1e076aa87e28e6eec9fa8ef31a42f0e43fc8a6847,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-571d8cVauQ/5.mp4,e304c03fac1f477823fe0926c4fb421b9c4e4091f85718b729afe856c24a7d3e,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000006/audio_16k.wav,11a9a68a45a55d03ab8827f8ed190e71494b62a9024b076c25062122dc1f2173,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000006/audio_16k.wav,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000006/audio_16k.wav,1,
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,8,76,d8191a0e9bf808171a0610c82825567e304d6950a9b1ee4e9c3f57fdd67c5add,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-6rXp3zJ3kc/8.mp4,59b77a0f873b7fa95e7327b93d64bb5a4bdae84039321988ef70bba8e63ee1ae,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000007/audio_16k.wav,5f5c486b6021abb079bc27969a3f5f9bbf03ae67771b2006809cfc489bd6eca6,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000007/audio_16k.wav,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000007/audio_16k.wav,1,
-9y-fZ3swSY$_$0,-9y-fZ3swSY,0,77,d81896a67e5f274d2c16dbf281a45824f967fe604ce10737525c3ccae7723a3e,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/0.mp4,29a1fd181293cdbe24e50edcad51e3cc0f27a5824d840bcc39d453b272fb6e3c,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000008/audio_16k.wav,6a8737e4d30ff263d276c9acb9fb80d1000511aa9c7254acad6fcf58e1f05bea,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000008/audio_16k.wav,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000008/audio_16k.wav,1,
-9y-fZ3swSY$_$4,-9y-fZ3swSY,4,78,90e4f5f3d707d702db91e02acb36aef59bcc5989d01839f4e69891616d660847,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/4.mp4,fe04a26710e85c58bdaad5a48618c7e0f742d82b0d920eb4a046c8f14a6921dc,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000009/audio_16k.wav,35b2f97bb7476585d9ceafff09078bd59df243d2c764c691b838a385c45e5f8f,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000009/audio_16k.wav,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000009/audio_16k.wav,1,
-9y-fZ3swSY$_$8,-9y-fZ3swSY,8,79,cc4943d1a2d9da1cfa76b529da139ea3ac05a0ff0f9935f381fb9c14c18f72a0,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/8.mp4,6140d031e614b62a5d8df73346fef2417c28cee3501310aa95aa40d358b4b256,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000010/audio_16k.wav,ed72b6250056aad7eb2c3280e40959408199d0819d51a49508e9f7695ec1fc12,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000010/audio_16k.wav,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000010/audio_16k.wav,1,
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,2,80,53a9c4d7b99b24b4a7472cea8414ccb888be5eabdef6e10c83361628bd8323db,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-AUZQgSxyPQ/2.mp4,e09034b30bb4f8fb9f9c2568afc20f2a764e327fe6ef4e13f21804eaac51bb7b,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000011/audio_16k.wav,6277ca358a69af8354645609ea1bf10a2ab8ec6a4cefe61c6685f1217b9c670f,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000011/audio_16k.wav,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000011/audio_16k.wav,1,
-HeZS2-Prhc$_$2,-HeZS2-Prhc,2,81,15effa3af619e2681091bfb260ded02117f167a5c4be5e77fff33a4e08a8caf1,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HeZS2-Prhc/2.mp4,edb0fa22fdfbd990c8174764af78670bd2ecad799240d35d96a1124a3cd9dc0c,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000012/audio_16k.wav,92b972d025299deba630ddd8bfb8e32a8a741bf529794e31759425e6ea6039e3,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000012/audio_16k.wav,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000012/audio_16k.wav,1,
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,2,7,aa56e2f7a4375e13c2521a154e4e8fe0f57919648d0ea30ce484d2ec50919afe,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/2.mp4,920a1052c09ebd1eedba6dd1ccfecd80f56f6f0fdcdd1f6dd32b0d90bcb89358,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000013/audio_16k.wav,f8b15191d976821b53da6081d69d2a9b6b68d769f164ca310ee1d7f31f0e2584,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000013/audio_16k.wav,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000013/audio_16k.wav,1,
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,5,8,83091121026f171a499d0396e42fa053b001e4a7958afad789966ad5dae8b5f4,/home/jqy/shumo/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/5.mp4,8d61b7f5840a8bd403d9bc6c3cd49029ffc4e304cf9c7834735c1a6bb5fd369d,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000014/audio_16k.wav,891f4570578395101d1f844774149f5b25840cb3b5680595f331fbe86c311c83,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000014/audio_16k.wav,/home/jqy/shumo/q1_features/runs/q1_full_20260924/samples/000014/audio_16k.wav,1,
