sample_id,semantic_pairing_status,semantic_reason,conflict_cause,legacy_ta_evidence_level,legacy_ctc_diagnostic_wer,official_whisper_token_f1,official_ctc_token_f1,ctc_whisper_token_f1,true_pair_rank,mapping_suspected,chain_ok
-3g5yACwYnA$_$13,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_STRONG,0.4,0.9090909090909091,0.7878787878787877,0.8888888888888888,1,0,1
-3g5yACwYnA$_$2,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_STRONG,0.6428571428571429,0.9655172413793104,0.7222222222222223,0.7027027027027029,1,0,1
-3g5yACwYnA$_$3,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_STRONG,0.3103448275862069,1.0,0.8125,0.8125,1,0,1
-3g5yACwYnA$_$9,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_STRONG,0.30434782608695654,1.0,0.8235294117647057,0.8235294117647057,1,0,1
-3nNcZdcdvU$_$5,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_STRONG,0.16666666666666666,0.9444444444444444,0.8648648648648649,0.918918918918919,1,0,1
-571d8cVauQ$_$0,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_STRONG,0.4166666666666667,0.9166666666666666,0.6086956521739131,0.6086956521739131,1,0,1
-571d8cVauQ$_$5,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_STRONG,0.11627906976744186,0.9333333333333332,0.9213483146067417,0.9462365591397849,1,0,1
-6rXp3zJ3kc$_$8,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_STRONG,0.11764705882352941,0.9428571428571428,0.9142857142857143,0.9166666666666666,1,0,1
-9y-fZ3swSY$_$0,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_STRONG,0.5,0.76,0.6250000000000001,0.6538461538461539,1,0,1
-9y-fZ3swSY$_$4,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_STRONG,0.2222222222222222,0.8421052631578948,0.631578947368421,0.7777777777777778,1,0,1
-9y-fZ3swSY$_$8,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_STRONG,0.08333333333333333,0.8799999999999999,0.8461538461538461,0.9600000000000001,1,0,1
-AUZQgSxyPQ$_$2,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_STRONG,0.43902439024390244,0.9397590361445782,0.5783132530120483,0.6428571428571429,1,0,1
-HeZS2-Prhc$_$2,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_STRONG,0.625,0.9142857142857143,0.631578947368421,0.6829268292682926,1,0,1
-HwX2H8Z4hY$_$2,CONFLICT,global_retrieval_prefers_other_audio,ASR_unstable,TA_CONFLICT,0.42857142857142855,0.0,0.6666666666666666,0.33333333333333337,89,0,1
-HwX2H8Z4hY$_$5,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_STRONG,0.2222222222222222,1.0,0.7777777777777778,0.7777777777777778,1,0,1
-HwX2H8Z4hY$_$6,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_STRONG,0.2857142857142857,0.8571428571428571,0.7692307692307692,0.7692307692307692,1,0,1
-HwX2H8Z4hY$_$9,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_SEMANTIC_ONLY,0.8181818181818182,0.9767441860465117,0.52,0.5306122448979592,1,0,1
-I_e4mIh0yE$_$1,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_STRONG,0.1111111111111111,1.0,0.9473684210526316,0.9473684210526316,1,0,1
-I_e4mIh0yE$_$3,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_SEMANTIC_ONLY,0.4090909090909091,0.8837209302325582,0.7346938775510203,0.7916666666666667,1,0,1
-MeTTeMJBNc$_$0,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_STRONG,0.09523809523809523,1.0,0.9302325581395349,0.9302325581395349,1,0,1
-MeTTeMJBNc$_$13,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_STRONG,0.07142857142857142,0.9032258064516129,0.9655172413793104,0.9375,1,0,1
-MeTTeMJBNc$_$7,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,unresolved_algorithmic_or_content_conflict,TA_STRONG,0.03225806451612903,1.0,0.967741935483871,0.967741935483871,1,0,1
-NFrJFQijFE$_$1,CONFLICT,global_retrieval_prefers_other_audio,ASR_unstable,TA_CONFLICT,1.0,0.0,0.0,0.0,97,0,1
