sample_id,video_id,clip_id,official_transcript,ctc_diagnostic_transcript,whisperx_transcript,ctc_diagnostic_wer_legacy,official_ctc_wer,official_ctc_cer,official_ctc_token_precision,official_ctc_token_recall,official_ctc_token_f1,official_ctc_character_similarity,official_ctc_score,official_whisperx_wer,official_whisperx_cer,official_whisperx_token_precision,official_whisperx_token_recall,official_whisperx_token_f1,official_whisperx_character_similarity,official_whisperx_score,ctc_whisperx_wer,ctc_whisperx_cer,ctc_whisperx_token_precision,ctc_whisperx_token_recall,ctc_whisperx_token_f1,ctc_whisperx_character_similarity,ctc_whisperx_score
-3g5yACwYnA$_$13,-3g5yACwYnA,13,They've been able to find solutions or at least bring some answers to the table.,THAT WE DO OH THEY'VE BEEN ABLE TO FIND SOLUTIONS OR AT SPRING SOME ANSWERS TO THE TABLE,THAT WE DO THEY'VE BEEN ABLE TO FIND SOLUTIONS OR AT LEAST BRING SOME ANSWERS TO THE TABLE,0.4,0.4,0.23076923076923078,0.7222222222222222,0.8666666666666667,0.7878787878787877,0.7887323943661972,0.7883055911224925,0.2,0.12307692307692308,0.8333333333333334,1.0,0.9090909090909091,0.8904109589041096,0.8997509339975094,0.16666666666666666,0.09859154929577464,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.904109589041096,0.8964992389649924
-3g5yACwYnA$_$2,-3g5yACwYnA,2,Key Polymer brings a technical aspect to our operation that we don't have internally.,RATS U KEY BRAINS A KEEPOLER BRINGS A TECHNICAL ASPECT TO A OUR OPERATION THAT WE DON'T HAVE INTERNALLY U WE ARE,OPERATIONS KEY POLYMER BRINGS A TECHNICAL ASPECT TO OUR OPERATION THAT WE DON'T HAVE INTERNALLY,0.6428571428571429,0.6428571428571429,0.3380281690140845,0.5909090909090909,0.9285714285714286,0.7222222222222223,0.7362637362637363,0.7292429792429793,0.07142857142857142,0.14084507042253522,0.9333333333333333,1.0,0.9655172413793104,0.8765432098765432,0.9210302256279268,0.4090909090909091,0.23076923076923078,0.8666666666666667,0.5909090909090909,0.7027027027027029,0.7692307692307692,0.735966735966736
-3g5yACwYnA$_$3,-3g5yACwYnA,3,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",WE'RE A HUGE AH USER OF ADHESSIS FOR OUR OPERATION CALLED WALKING AND WE DON'T HAVE THE TECHNICAL INSIDE FROM COMPOUNDING OR THE TECHNICAL EX IS TO DO THESE TYPES OF THINGS SO A KEY,WE'RE A HUGE USER OF ADHESIVES FOR OUR OPERATION CALLED FLOCKING AND WE DON'T HAVE THE TECHNICAL INSIDE COMPOUNDING OR THE TECHNICAL EXPERTISE TO DO THESE TYPES OF THINGS,0.3103448275862069,0.3103448275862069,0.16901408450704225,0.7428571428571429,0.896551724137931,0.8125,0.8367346938775511,0.8246173469387755,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2571428571428571,0.16326530612244897,0.896551724137931,0.7428571428571429,0.8125,0.8367346938775511,0.8246173469387755
-3g5yACwYnA$_$9,-3g5yACwYnA,9,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",WE HAVE MANY A NEW OPPORTUNITIES THROUGH THE WAY THINGS HAVE CHANCE THROUGH THE YEARS I AM LOOKING FOR NEW NICHE HIGH END VALUE OUT OF PRODUCTS AND,WE HAVE MANY NEW OPPORTUNITIES THROUGH THE WAY THINGS HAVE CHANGED THROUGH THE YEARS LOOKING FOR NEW NICHE HIGH END VALUE ADDED PRODUCTS,0.30434782608695654,0.30434782608695654,0.12280701754385964,0.75,0.9130434782608695,0.8235294117647057,0.8833333333333333,0.8534313725490195,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0.11666666666666667,0.9130434782608695,0.75,0.8235294117647057,0.8833333333333333,0.8534313725490195
-3nNcZdcdvU$_$5,-3nNcZdcdvU,5,Noncompliance can result in legal liability to you and to the school district in which you are employed.,NON COMPLIANCE CAN RESOLVE IN LEGAL LIABILITY TO YOU AND TO THE SCHOOL DISTRICT IN WHICH YOU ARE EMPLOYED,NONCOMPLIANCE CAN RESOLVE IN LEGAL LIABILITY TO YOU AND TO THE SCHOOL DISTRICT IN WHICH YOU ARE EMPLOYED,0.16666666666666666,0.16666666666666666,0.03488372093023256,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.9655172413793104,0.9151910531220877,0.05555555555555555,0.03488372093023256,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9655172413793104,0.9549808429118773,0.10526315789473684,0.0,0.9444444444444444,0.8947368421052632,0.918918918918919,1.0,0.9594594594594594
-571d8cVauQ$_$0,-571d8cVauQ,0,"This is Rhett Reiger, White Caspian Studios on behalf of Expert Village.",MISSUS RED WGER WHITE CASPING STUDIOS ON BEHALF OF EXPERT VILLAGE,THIS IS RHETT RIGER WHITE CASPIAN STUDIOS ON BEHALF OF EXPERT VILLAGE,0.4166666666666667,0.4166666666666667,0.2033898305084746,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.7966101694915254,0.7026529108327193,0.08333333333333333,0.01694915254237288,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9830508474576272,0.9498587570621468,0.45454545454545453,0.2,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.8103448275862069,0.70952023988006
-571d8cVauQ$_$5,-571d8cVauQ,5,"So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there and let everybody knows this is a very valuable spot.",US SO VERY IMPORTANT TO GO OUT TO THE LOCATIONS WALK AROUND TALK WITH THE OWNERS IF YOU CAN TELL THEM WHAT YOU'RE DOING BUILD A LITTLE EXCITEMENT PUT A LITTLE GLIMPSELITS ON THERE AND LET EVERYBODY KNOW THIS IS A VERY VALUABLE SPOT THIS IS,SO IT'S VERY IMPORTANT TO GO OUT TO THE LOCATIONS WALK AROUND TALK WITH THE OWNERS IF YOU CAN TELL THEM WHAT YOU'RE DOING BUILD A LITTLE EXCITEMENT PUT A LITTLE GLITZ ON THERE AND LET EVERYBODY KNOW THIS IS A VERY VALUABLE SPOT THIS IS GOING,0.11627906976744186,0.11627906976744186,0.08839779005524862,0.8913043478260869,0.9534883720930233,0.9213483146067417,0.9175257731958762,0.919437043901309,0.11627906976744186,0.08839779005524862,0.8936170212765957,0.9767441860465116,0.9333333333333332,0.9179487179487179,0.9256410256410256,0.08695652173913043,0.09278350515463918,0.9361702127659575,0.9565217391304348,0.9462365591397849,0.9076923076923077,0.9269644334160463
-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,8,Many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value.,AWAREOF MANY PEOPLE ARE NOT UNTIL THEY GET TO BE A OLDER AGE AND THEY REALIZE THAT GOSHHAVE THEY'VE WASTED A LOT OF TIME AND MONEY IN IN PLACING BETS ON STOCK THAT'S ULTIMATELY LOST VALUE,AWARE OF MANY PEOPLE ARE NOT UNTIL THEY GET TO BE A OLDER AGE AND THEY REALIZE THAT GOSH THEY'VE WASTED A LOT OF TIME AND MONEY IN PLACING BETS ON STOCK THAT'S ULTIMATELY LOST VALUE,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.8947368421052632,0.9045112781954887,0.08823529411764706,0.07352941176470588,0.9166666666666666,0.9705882352941176,0.9428571428571428,0.9315068493150684,0.9371819960861056,0.1111111111111111,0.039473684210526314,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9605263157894737,0.9385964912280702
-9y-fZ3swSY$_$0,-9y-fZ3swSY,0,"is, you can say, hey I really like baby skin, they are so soft, they don’t have any hair on their face",AS IF EVENTS SAY HEY THEN WHAT I REALLY LIKE BABY'S KID IS SO SOFT THEY DON'T HAVE ANY HAIR ON THEIR FACE AT SOME,YOU CAN SAY HEY YOU KNOW WHAT I REALLY LIKE BABY'S SKIN THEY ARE SO SOFT THEY DON'T HAVE ANY HAIR ON THEIR FACE IT'S SO NICE,0.5,0.5652173913043478,0.42105263157894735,0.6,0.6521739130434783,0.6250000000000001,0.6404494382022472,0.6327247191011236,0.43478260869565216,0.34210526315789475,0.7037037037037037,0.8260869565217391,0.76,0.7346938775510203,0.7473469387755102,0.44,0.33707865168539325,0.6296296296296297,0.68,0.6538461538461539,0.6938775510204082,0.673861852433281
-9y-fZ3swSY$_$4,-9y-fZ3swSY,4,I’ve seen this in US or in the US,I'VE SEEN THIS IN UEST OR IN THE UT,I'VE SEEN THIS IN US OR IN THE US,0.2222222222222222,0.4,0.16666666666666666,0.6666666666666666,0.6,0.631578947368421,0.8518518518518519,0.7417153996101364,0.2,0.041666666666666664,0.8888888888888888,0.8,0.8421052631578948,0.96,0.9010526315789473,0.2222222222222222,0.1111111111111111,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.8333333333333333
